checkpoint_name,training_step,population,measure,pearson_r,pearson_p
trained_model_checkpoint_680.pkl,680,Adults,zRT,0.7164306660647659,2.276542025076048e-16
trained_model_checkpoint_690.pkl,690,Adults,zRT,0.7136606093857857,3.344649670972617e-16
trained_model_checkpoint_700.pkl,700,Adults,zRT,0.6991009933345846,2.3504237404039518e-15
trained_model_checkpoint_710.pkl,710,Adults,zRT,0.6978726415204077,2.7559674124699028e-15
trained_model_checkpoint_720.pkl,720,Adults,zRT,0.687555622359826,1.0173052301777048e-14
trained_model_checkpoint_730.pkl,730,Adults,zRT,0.6899298590852065,7.568570183234975e-15
trained_model_checkpoint_740.pkl,740,Adults,zRT,0.6833309905772773,1.7100011115256187e-14
trained_model_checkpoint_750.pkl,750,Adults,zRT,0.6741298473769004,5.1450358360405496e-14
trained_model_checkpoint_760.pkl,760,Adults,zRT,0.6609338115632475,2.3352904720081593e-13
trained_model_checkpoint_770.pkl,770,Adults,zRT,0.6557550966361418,4.1425045367183554e-13
trained_model_checkpoint_780.pkl,780,Adults,zRT,0.6541464702870512,4.938569312237373e-13
trained_model_checkpoint_790.pkl,790,Adults,zRT,0.6492546771387218,8.374189216763167e-13
trained_model_checkpoint_800.pkl,800,Adults,zRT,0.6539846537435474,5.026373812162276e-13
trained_model_checkpoint_400.pkl,400,Kids_II,zRT,0.7872701640893393,1.889030131484073e-21
trained_model_checkpoint_410.pkl,410,Kids_II,zRT,0.7899857909761314,1.1054412135521084e-21
trained_model_checkpoint_420.pkl,420,Kids_II,zRT,0.7907352774940974,9.521538719302213e-22
trained_model_checkpoint_430.pkl,430,Kids_II,zRT,0.8056695809812542,4.256646217609184e-23
trained_model_checkpoint_440.pkl,440,Kids_II,zRT,0.7853943435322517,2.722741142263943e-21
trained_model_checkpoint_450.pkl,450,Kids_II,zRT,0.7912019972793283,8.673679427840697e-22
trained_model_checkpoint_460.pkl,460,Kids_II,zRT,0.8097000444899747,1.7566282704395562e-23
trained_model_checkpoint_470.pkl,470,Kids_II,zRT,0.7847471320829664,3.086154692891041e-21
trained_model_checkpoint_480.pkl,480,Kids_II,zRT,0.788591752808772,1.4568588815789133e-21
trained_model_checkpoint_490.pkl,490,Kids_II,zRT,0.7848594655801295,3.019862758786945e-21
trained_model_checkpoint_500.pkl,500,Kids_II,zRT,0.778817437522128,9.53595682892598e-21
trained_model_checkpoint_510.pkl,510,Kids_II,zRT,0.778494600914087,1.0129890291760912e-20
trained_model_checkpoint_520.pkl,520,Kids_II,zRT,0.7873562661209393,1.857432025769188e-21
trained_model_checkpoint_530.pkl,530,Kids_II,zRT,0.7936795516269857,5.265648680347254e-22
trained_model_checkpoint_540.pkl,540,Kids_II,zRT,0.7781217442040362,1.0860659240273872e-20
trained_model_checkpoint_550.pkl,550,Kids_II,zRT,0.7792485208986673,8.795421247719323e-21
trained_model_checkpoint_560.pkl,560,Kids_II,zRT,0.7849331020208692,2.977160929856249e-21
trained_model_checkpoint_570.pkl,570,Kids_II,zRT,0.7798126135734573,7.910381478327251e-21
trained_model_checkpoint_580.pkl,580,Kids_II,zRT,0.7873373198360413,1.864340598286535e-21
trained_model_checkpoint_590.pkl,590,Kids_II,zRT,0.7843276654649969,3.346435883637997e-21
trained_model_checkpoint_600.pkl,600,Kids_II,zRT,0.7887514115238878,1.4116702160834922e-21
trained_model_checkpoint_610.pkl,610,Kids_II,zRT,0.7785216930802383,1.0078696247761111e-20
trained_model_checkpoint_620.pkl,620,Kids_II,zRT,0.765059655210754,1.14835200441968e-19
trained_model_checkpoint_630.pkl,630,Kids_II,zRT,0.7723316084966904,3.1495676881604823e-20
trained_model_checkpoint_640.pkl,640,Kids_II,zRT,0.755807004291573,5.576301594056375e-19
trained_model_checkpoint_650.pkl,650,Kids_II,zRT,0.7456715892492938,2.910252299409099e-18
trained_model_checkpoint_660.pkl,660,Kids_II,zRT,0.7442276876225602,3.659387589323384e-18
trained_model_checkpoint_670.pkl,670,Kids_II,zRT,0.7397074733121374,7.422931749869068e-18
trained_model_checkpoint_680.pkl,680,Kids_II,zRT,0.7297144560667398,3.3701650455823216e-17
trained_model_checkpoint_690.pkl,690,Kids_II,zRT,0.725373907141082,6.368698689416103e-17
trained_model_checkpoint_700.pkl,700,Kids_II,zRT,0.7114705006739885,4.519168236611053e-16
trained_model_checkpoint_710.pkl,710,Kids_II,zRT,0.7114449835331085,4.534968308819176e-16
trained_model_checkpoint_720.pkl,720,Kids_II,zRT,0.7052305384755764,1.0493311307668837e-15
trained_model_checkpoint_730.pkl,730,Kids_II,zRT,0.7076140138005015,7.626006669529911e-16
trained_model_checkpoint_740.pkl,740,Kids_II,zRT,0.6925567309815621,5.4384202519813296e-15
trained_model_checkpoint_750.pkl,750,Kids_II,zRT,0.6842790655439553,1.5230353829465957e-14
trained_model_checkpoint_760.pkl,760,Kids_II,zRT,0.6736505637840859,5.4430044941656327e-14
trained_model_checkpoint_770.pkl,770,Kids_II,zRT,0.668795173634551,9.571697780990821e-14
trained_model_checkpoint_780.pkl,780,Kids_II,zRT,0.6665675747968145,1.2357604659343896e-13
trained_model_checkpoint_790.pkl,790,Kids_II,zRT,0.6611463908143373,2.280439133899389e-13
trained_model_checkpoint_800.pkl,800,Kids_II,zRT,0.6633006136623305,1.7903674855905277e-13
